label,rc,elapsed_s,load_before,load_after
w0,0,496.09,4.61 4.82 5.24,5.25 5.15 5.24
c1,0,495.64,5.10 5.15 5.24,6.27 5.74 5.47
t1,0,7.16,5.82 5.67 5.45,5.75 5.66 5.45
t2,0,6.32,5.75 5.66 5.45,5.78 5.67 5.46
t3,0,6.48,5.78 5.67 5.46,5.96 5.71 5.47
c2,0,495.97,11.10 6.88 5.89,6.33 6.06 5.90
t4,0,6.91,6.21 6.04 5.89,6.12 6.02 5.89
t5,0,5.92,6.12 6.02 5.89,5.70 5.94 5.86
c3,0,494.09,5.33 5.85 5.83,4.23 4.83 5.27
t6,0,7.09,4.48 4.82 5.25,4.87 4.89 5.27
