label	master	seconds	rc
00-cold	-	305.7	0
01-warm-nochange	-	3.27	0
d1-leaf	src/L/BoundedSubset.lagda.md	16.38	0
d2-shallow	src/L/Ordinal/SquareLaw.lagda.md	23.92	0
d3-mid	src/L/Coding/Sound.lagda.md	234.99	0
d4-deep	src/L/Coding/Model.lagda.md	271.76	0
d5-base	src/Base/Prelude.lagda.md	300.81	0
99-warm-nochange	-	3.25	0
