label,base,rc,elapsed_s,load_before,load_after
c1,ControlEnv,0,487.46,4.65 10.95 20.84,4.69 6.52 14.33
b1,Bisect,0,895.58,4.22 6.29 14.07,4.59 5.16 8.21
t1,TreatedNoIter,0,4.35,5.42 5.25 7.85,5.38 5.24 7.83
c2,ControlEnv,0,476.85,4.11 4.94 7.47,5.95 5.63 6.67
t2,TreatedNoIter,0,3.74,5.95 5.63 6.67,6.19 5.68 6.69
t3,TreatedNoIter,0,3.65,6.19 5.68 6.69,6.09 5.67 6.68
t4,TreatedNoIter,0,4.65,4.79 5.40 6.55,4.81 5.40 6.54
c3,ControlEnv,0,476.45,4.81 5.40 6.54,4.58 4.98 5.85
s1,SealReplay,0,467.53,3.81 4.58 5.60,6.65 5.95 5.78
