Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          109,118ms 
L.Condensation.AllInRow.σL-in                       51ms 
L.Condensation.FstTmRel.out                         50ms 
L.Condensation.MemRow.σL-out                        49ms 
L.Condensation.EqRow.σL-out                         49ms 
L.Condensation.BinFormAgree._._._._.ks              49ms 
L.Condensation.FstTmRel.back                        49ms 
L.Condensation.DefinesAgree._._.eB                  49ms 
L.Condensation.ExInRow.σL-in                        48ms 
L.Condensation.Lift12Back.s₉                        47ms 
L.Condensation.ForallRow.σL-out                     46ms 
L.Condensation.DomainAgree.back                     45ms 
L.Condensation.BndLeaf.bodyS                        45ms 
L.Condensation.NegRow.σL-out                        45ms 
L.Condensation.ImpRow.σL-in                         44ms 
L.Condensation.OrRow.σL-in                          44ms 
L.Condensation.PropAgree.opOut                      44ms 
L.Condensation.BinFrameAgree._._.ks                 43ms 
L.Condensation.BinFullDecode.binFull-in             43ms 
L.Condensation.BndLeaf.bodySx                       43ms 
L.Condensation.UnFullDecode.unFull-out              42ms 
L.Condensation.TmBranch._._._.tagPart               41ms 
L.Condensation.AndRow.σL-in                         41ms 
L.Condensation.TagAgree._.h'                        41ms 
L.Condensation.BinEnvDecode.binEnv-out              41ms 
L.Condensation.BinFormAgree._._.go₂                 41ms 
L.Condensation.DefinesAgree._.go                    40ms 
L.Condensation.EqRow.σL-in                          39ms 
L.Condensation.BotAgree.bot-out                     39ms 
L.Condensation.ImpLeaf.envSet-out                   39ms 
L.Condensation.Lift12Back.s₁₀                       38ms 
L.Condensation.AtomLeaf.vK-lift                     38ms 
L.Condensation.BinShapeClosed.out                   38ms 
L.Condensation.BinFormAgree.out                     38ms 
L.Condensation.MemRow.σL-in                         38ms 
L.Condensation.UnFullDecode.unFull-in               38ms 
L.Condensation.BndLeaf.ex-drop-w                    37ms 
L.Condensation.ImpLeaf.envSet-back                  37ms 
L.Condensation.SuccSndRel._.go                      36ms 
L.Condensation.ImpLeaf.envShift-back                35ms 
L.Condensation.Δ₀-bndBodyAll                        35ms 
L.Condensation.Δ₀-bndBodyEx                         35ms 
L.Condensation.TopRow.σL-out                        35ms 
L.Condensation.ImpLeaf.envShift-out                 35ms 
L.Condensation.BndLeaf.ex-lift-w                    34ms 
L.Condensation.ForallRow.σL-in                      34ms 
L.Condensation.BinFormAgree._.go                    34ms 
L.Condensation.NegRow.σL-in                         33ms 
L.Condensation.UnFormAgree._.go                     32ms 
L.Condensation.UnEnvDecode.unEnv-out                32ms 
L.Condensation.ClauseDecode.existBnd-in             32ms 
L.Condensation.UnFormAgree.out                      32ms 
L.Condensation.Δ₀-envHypU                           31ms 
L.Condensation.SuccSndRel._._.zK                    31ms 
L.Condensation.BndLeaf.ex-drop-x                    31ms 
L.Condensation.OneSuccRel._.go                      31ms 
L.Condensation.Clause.Δ₀-envBnd                     31ms 
L.Condensation.BinFormAgree._._.go₂                 30ms 
L.Condensation.BndLeaf.ex-lift-x                    30ms 
L.Condensation.UnFormAgree._._._.ks                 30ms 
L.Condensation.TagAgree.back                        30ms 
L.Condensation.SatGraphB.satGraphB                  30ms 
L.Condensation.AtomLeaf.tVS                         30ms 
L.Condensation.TopRow.σL-in                         30ms 
L.Condensation.Δ₀-DefBodyB                          29ms 
L.Condensation.BinEnvDecode.binEnv-in               29ms 
L.Condensation.BinaryShape.out                      29ms 
L.Condensation.SuccSndRel.back                      28ms 
L.Condensation.Δ₀-envHypB2                          28ms 
L.Condensation.Δ₀-envHypT                           28ms 
L.Condensation.TmBranch._.go                        28ms 
L.Condensation.ClauseDecode.σL-out                  28ms 
L.Condensation.PropAgree.coreS                      28ms 
L.Condensation.UnFrameAgree._._.ks                  27ms 
L.Condensation.Δ₀-envHypB2T                         27ms 
L.Condensation.AtomLeaf.tWS                         27ms 
L.Condensation.OneSuccRel._._.zK                    27ms 
L.Condensation.EnvOneAgree.fwd                      26ms 
L.Condensation.BotRow.σL-out                        26ms 
L.Condensation.BndLeaf.tVS                          26ms 
L.Condensation.EnvOneAgree.bwd                      26ms 
L.Condensation.ImpLeaf.opBack                       26ms 
L.Condensation.UnBareDecode.unBare-out              26ms 
L.Condensation.AtomLeaf.drop-w                      26ms 
L.Condensation.KeyAgree._.go                        26ms 
L.Condensation.DomainAgree._.go                     25ms 
L.Condensation.WitnessAgree.back                    25ms 
L.Condensation.BinFormAgree._.go                    25ms 
L.Condensation.UnShapeClosed.out                    25ms 
L.Condensation.AtomLeaf.drop-v                      25ms 
L.Condensation.OneSuccRel.back                      24ms 
L.Condensation.UnEnvDecode.unEnv-in                 24ms 
L.Condensation.AtomLeaf.lift-w                      24ms 
L.Condensation.ClauseDecode.σL-in                   24ms 
L.Condensation.TagAgree._.hp                        24ms 
L.Condensation.SubValB2T.out                        24ms 
L.Condensation.AtomLeaf.lift-v                      23ms 
L.Condensation.WitnessAgree.out                     23ms 
L.Condensation.DomainAgree.mem                      23ms 
L.Condensation.DefinesAgree.bwd                     23ms 
L.Condensation.DefinesAgree.fwd                     23ms 
L.Condensation.ExistAgree.Leaf.bodyK                22ms 
L.Condensation.TmBranch._._._.tz'                   22ms 
L.Condensation.BndLeaf.ySat                         22ms 
L.Condensation.ExistAgree.Leaf.xB                   22ms 
L.Condensation.ExistAgree.Leaf.drop-x               22ms 
