label,rc,elapsed_s,slots_before,slots_after,load_before,load_after
a1,0,140.39,0,0,6.66 6.62 6.48,6.85 6.82 6.58
a2,0,139.73,0,0,5.92 6.56 6.50,16.66 9.99 7.84
b1,130,1840.43,0,0,10.99 9.31 7.68,7.97 7.39 7.43
r0,0,141.76,0,0,9.49 8.00 7.65,7.36 7.66 7.56
cb0,0,140.57,0,0,9.49 8.17 7.74,5.27 7.15 7.41
cbn,130,1840.76,0,0,4.97 7.00 7.35,6.08 6.95 7.27
cbl,42,669.39,0,0,5.83 6.84 7.22,14.39 9.20 7.73
r1,0,142.29,0,0,12.15 9.05 7.72,9.39 8.88 7.84
