# module src/L/Condensation.lagda.md
# in-fence lines 6676
# GHCRTS -A64m -I0 -M8g
# command agda --profile=definitions src/L/Condensation.lagda.md
# load before 3.19 / 3.53 / 3.56
# load after  3.65 / 3.56 / 3.57
# wall seconds 133.48
# exit 0
Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          131,311ms 
Miscellaneous                                   68,634ms 
L.Condensation.LeafAgree.back                    7,292ms 
L.Condensation.SatGraphAgree.back                3,706ms 
L.Condensation.PropAgree.subB2T-back             3,241ms 
L.Condensation.ExInAgree.back                    2,536ms 
L.Condensation.SatGraphAgree.out                 2,239ms 
L.Condensation.LeafAgree.out                     1,432ms 
L.Condensation.Exist.Δ₀-existBndAt               1,232ms 
L.Condensation.SatGraphAgree.body-back           1,169ms 
L.Condensation.AllInAgree.back                   1,169ms 
L.Condensation.WitnessAgree._.go                 1,161ms 
L.Condensation.AtomLeaf.bwd                      1,149ms 
L.Condensation.WitnessAgree._.go                 1,126ms 
L.Condensation.SatGraphAgree.body-out            1,061ms 
L.Condensation.Clause.Δ₀-bodyBnd                   838ms 
L.Condensation.ImpLeaf.ybOut                       826ms 
L.Condensation.ImpLeaf.yaOut                       826ms 
L.Condensation.ImpAgree.back                       815ms 
L.Condensation.Forall.Δ₀-bodyFφ                    773ms 
L.Condensation.AllInAgree.out                      725ms 
L.Condensation.EqAgree.back                        711ms 
L.Condensation._.dc                                708ms 
L.Condensation.ExInAgree.out                       701ms 
L.Condensation._.dc                                700ms 
L.Condensation.ForallAgree.back                    699ms 
L.Condensation.MemAgree.back                       683ms 
L.Condensation.BinShapeClosed.in'                  659ms 
L.Condensation.ShapedAgree.back                    629ms 
L.Condensation.ExistAgree.back                     626ms 
L.Condensation.PropAgree.back                      612ms 
L.Condensation.KFactsNS.KFacts                     591ms 
L.Condensation.ImpAgree.out                        580ms 
L.Condensation.ShapedAgree.out                     580ms 
L.Condensation.BinaryShape.in'                     552ms 
L.Condensation.NegAgree.back                       549ms 
L.Condensation.SatGraphAgree.lift3                 506ms 
L.Condensation.ForallAgree.out                     441ms 
L.Condensation.TmVal.in'                           418ms 
L.Condensation.TopAgree.back                       416ms 
L.Condensation.BinShapeClosed._.target             401ms 
L.Condensation.EqAgree.out                         394ms 
L.Condensation.CertTransfer.cert-transfer          384ms 
L.Condensation.TmVal.out                           370ms 
L.Condensation.MemAgree.out                        369ms 
L.Condensation.ExistAgree.out                      362ms 
L.Condensation.PropAgree.out                       350ms 
L.Condensation.BndLeaf.keyK-of                     310ms 
L.Condensation.NegAgree.out                        303ms 
L.Condensation.AtomLeaf.keyK-of                    303ms 
L.Condensation.KFactsCons                          299ms 
L.Condensation.BndLeaf.all-fwd                     266ms 
L.Condensation.BinaryShape._.target                260ms 
L.Condensation.TopAgree.out                        247ms 
L.Condensation.BndLeaf.ex-bwd                      232ms 
L.Condensation.UnShapeClosed.in'                   226ms 
L.Condensation.BndLeaf.ex-fwd                      224ms 
L.Condensation.PropAgree.subB2T                    221ms 
L.Condensation.SubValSuccB2T.out                   194ms 
L.Condensation.ShapesAgree.out                     193ms 
L.Condensation.UnaryShape.in'                      178ms 
L.Condensation.ExistAgree.Leaf.bwd                 171ms 
L.Condensation.BndLeaf.all-bwd                     169ms 
L.Condensation.ExistAgree.Leaf.fwd                 168ms 
L.Condensation.LeafAgree.ic-back                   166ms 
L.Condensation.UnShapeClosed._.target              164ms 
L.Condensation.PropAgree.keyK₀                     162ms 
L.Condensation.LeafAgree.ic-out                    162ms 
L.Condensation.ClosedAgree.out                     155ms 
L.Condensation.ClosedAgree.back                    150ms 
L.Condensation.KeyAgree._._.go₂                    144ms 
L.Condensation.TmBranch._._.tagAt                  125ms 
L.Condensation.BinFormAgree._._._.go₃              122ms 
L.Condensation.ImpLeaf.yaBack                      122ms 
L.Condensation.ImpLeaf.ybBack                      121ms 
L.Condensation.Lift12Back.back                     118ms 
L.Condensation.UnaryShape._.target                 118ms 
L.Condensation.AtomLeaf.fwd                        116ms 
L.Condensation.BinFrameAgree._.go                  110ms 
L.Condensation.Lift12Back.s₁                       110ms 
L.Condensation.SubValSuccB2T.back                  109ms 
L.Condensation.Lift12Back.s₂                       103ms 
L.Condensation.BinFormAgree._._._.go₃              102ms 
L.Condensation.BinFormAgree._._._._.shape          101ms 
L.Condensation.EnvSet.over→bnd                      97ms 
L.Condensation.Lift12Back.s₃                        94ms 
L.Condensation.Lift12Out.out                        93ms 
L.Condensation.BotAgree.bot-in                      90ms 
L.Condensation.SatGraphB.Δ₀-twelveB                 89ms 
L.Condensation.DomainAgree.out                      88ms 
L.Condensation.Lift12Back.s₄                        87ms 
L.Condensation.TagAgree._.go                        86ms 
L.Condensation.BinFrameAgree.out                    84ms 
L.Condensation.BothTmRel.out                        84ms 
L.Condensation.Δ₀-prAtL                             84ms 
L.Condensation.BothTmRel.back                       82ms 
L.Condensation.UnFrameAgree._.go                    80ms 
L.Condensation.UnFormAgree._._.go₂                  80ms 
L.Condensation.Lift12Back.s₅                        79ms 
L.Condensation.AtomLeaf.tmV-in                      77ms 
L.Condensation.AtomLeaf.tmW-in                      75ms 
L.Condensation.UnFormAgree._._._.shape              74ms 
L.Condensation.UnFormAgree._._.go₂                  74ms 
L.Condensation.BndLeaf.tmIn                         73ms 
L.Condensation.Lift12Back.s₆                        71ms 
L.Condensation.EnvSet.bnd→over                      71ms 
L.Condensation.AtomLeaf.tmV-out                     71ms 
L.Condensation.ExInRow.σL-out                       69ms 
L.Condensation.PropAgree.opBack                     68ms 
L.Condensation.AllInRow.σL-out                      67ms 
L.Condensation.EnvOneAgree.back                     65ms 
L.Condensation.KeyAgree._._.hp                      64ms 
L.Condensation.AtomLeaf.tmW-out                     64ms 
L.Condensation.BndLeaf.tmOut                        63ms 
L.Condensation.Lift12Back.s₇                        63ms 
L.Condensation.OrRow.σL-out                         63ms 
L.Condensation.DefinesAgree._.go                    63ms 
L.Condensation.ImpRow.σL-out                        62ms 
L.Condensation.UnFrameAgree.out                     62ms 
L.Condensation.TmAgree.out                          60ms 
L.Condensation.EnvOneAgree.out                      60ms 
L.Condensation.AndRow.σL-out                        59ms 
L.Condensation.KeyAgree._.go                        59ms 
L.Condensation.DefinesAgree._._.eOne                58ms 
L.Condensation.BinFormAgree._._._._.ks              57ms 
L.Condensation.SatGraphB.twelveB                    57ms 
L.Condensation.BinFrameAgree._._.ks                 57ms 
L.Condensation.TmAgree.in'                          56ms 
L.Condensation.Lift12Back.s₈                        55ms 
L.Condensation.DefinesAgree._._.eB                  54ms 
L.Condensation.EqRow.σL-out                         53ms 
L.Condensation.BinFullDecode.binFull-out            52ms 
L.Condensation.SatGraphB.Δ₀-satGraphB               52ms 
L.Condensation.ExInRow.σL-in                        51ms 
L.Condensation.AllInRow.σL-in                       50ms 
L.Condensation.DomainAgree.back                     50ms 
L.Condensation.MemRow.σL-out                        49ms 
L.Condensation.FstTmRel.back                        48ms 
L.Condensation.BndLeaf.bodyS                        48ms 
L.Condensation.ForallRow.σL-out                     48ms 
L.Condensation.Lift12Back.s₉                        47ms 
L.Condensation.FstTmRel.out                         47ms 
L.Condensation.KValue.facts                         47ms 
L.Condensation.PropAgree.opOut                      46ms 
L.Condensation.NegRow.σL-out                        46ms 
L.Condensation.BndLeaf.bodySx                       46ms 
L.Condensation.ImpRow.σL-in                         46ms 
L.Condensation.TagAgree._.h'                        46ms 
L.Condensation.BinFullDecode.binFull-in             46ms 
L.Condensation.EqRow.σL-in                          45ms 
L.Condensation.DefinesAgree._.go                    44ms 
L.Condensation.UnFullDecode.unFull-out              44ms 
L.Condensation.BinEnvDecode.binEnv-out              44ms 
L.Condensation.Lift12Back.s₁₀                       44ms 
L.Condensation.ClauseDecode.existBnd-out            43ms 
L.Condensation.ImpLeaf.envSet-out                   43ms 
L.Condensation.OrRow.σL-in                          43ms 
L.Condensation.AndRow.σL-in                         42ms 
L.Condensation.BotAgree.bot-out                     42ms 
L.Condensation.AtomLeaf.vK-lift                     41ms 
L.Condensation.UnFormAgree._._._.ks                 41ms 
L.Condensation.UnFrameAgree._._.ks                  41ms 
L.Condensation.SuccSndRel._.go                      40ms 
L.Condensation.BinFormAgree._._.go₂                 40ms 
L.Condensation.BinFormAgree.out                     39ms 
L.Condensation.MemRow.σL-in                         39ms 
L.Condensation.BinShapeClosed.out                   39ms 
L.Condensation.TmBranch._._._.tagPart               39ms 
L.Condensation.ImpLeaf.envSet-back                  39ms 
L.Condensation.ImpLeaf.envShift-back                38ms 
L.Condensation.BndLeaf.ex-drop-w                    38ms 
L.Condensation.BinFormAgree._.go                    38ms 
L.Condensation.Clause.Δ₀-envBnd                     38ms 
L.Condensation.UnFullDecode.unFull-in               37ms 
L.Condensation.BndLeaf.ex-lift-w                    36ms 
L.Condensation.Δ₀-bndBodyEx                         36ms 
L.Condensation.ImpLeaf.envShift-out                 36ms 
L.Condensation.TopRow.σL-out                        35ms 
L.Condensation.Δ₀-bndBodyAll                        35ms 
L.Condensation.ForallRow.σL-in                      35ms 
L.Condensation.UnFormAgree.out                      35ms 
L.Condensation.SuccSndRel._._.zK                    35ms 
L.Condensation.OneSuccRel._.go                      35ms 
L.Condensation.NegRow.σL-in                         35ms 
L.Condensation.UnFormAgree._.go                     34ms 
L.Condensation.ClauseDecode.existBnd-in             34ms 
L.Condensation.UnEnvDecode.unEnv-out                33ms 
L.Condensation.WitnessAgree._._.wK                  33ms 
L.Condensation.AtomLeaf.tWS                         33ms 
L.Condensation.BndLeaf.ex-drop-x                    32ms 
L.Condensation.UnShapeClosed.out                    32ms 
L.Condensation.BndLeaf.ex-lift-x                    32ms 
L.Condensation.TagAgree.back                        32ms 
L.Condensation.Δ₀-DefBodyB                          32ms 
L.Condensation.SuccSndRel.back                      31ms 
L.Condensation.Δ₀-envHypU                           31ms 
L.Condensation.TopRow.σL-in                         31ms 
L.Condensation.BinEnvDecode.binEnv-in               31ms 
L.Condensation.BinaryShape.out                      31ms 
L.Condensation.ImpLeaf.opBack                       30ms 
L.Condensation.PropAgree.coreS                      30ms 
L.Condensation.AtomLeaf.tVS                         30ms 
L.Condensation.SatGraphB.satGraphB                  30ms 
L.Condensation.OneSuccRel._._.zK                    30ms 
L.Condensation.BndLeaf.tVS                          30ms 
L.Condensation.ClauseDecode.σL-out                  29ms 
L.Condensation.Δ₀-envHypB2                          29ms 
L.Condensation.EnvOneAgree.fwd                      29ms 
L.Condensation.Δ₀-envHypB2T                         29ms 
L.Condensation.EnvOneAgree.bwd                      29ms 
L.Condensation.SubValB2T.out                        28ms 
L.Condensation.WitnessAgree.back                    28ms 
L.Condensation.Δ₀-envHypT                           28ms 
L.Condensation.KeyAgree._.go                        28ms 
L.Condensation.BinFormAgree._._.go₂                 27ms 
L.Condensation.BotRow.σL-out                        27ms 
L.Condensation.OneSuccRel.back                      27ms 
L.Condensation.DomainAgree._.go                     27ms 
L.Condensation.AtomLeaf.drop-w                      27ms 
L.Condensation.TagAgree._.hp                        27ms 
L.Condensation.AtomLeaf.drop-v                      26ms 
L.Condensation.BinFormAgree._.go                    26ms 
L.Condensation.TmBranch._.go                        26ms 
L.Condensation.DefinesAgree.fwd                     26ms 
L.Condensation.DefinesAgree.bwd                     26ms 
L.Condensation.AtomLeaf.lift-v                      25ms 
L.Condensation.WitnessAgree.out                     25ms 
L.Condensation.UnEnvDecode.unEnv-in                 25ms 
L.Condensation.DomainAgree.mem                      25ms 
L.Condensation.UnBareDecode.unBare-out              25ms 
L.Condensation.AtomLeaf.lift-w                      25ms 
L.Condensation.ExistAgree.Leaf.bodyK                25ms 
L.Condensation.ClauseDecode.σL-in                   23ms 
