# module src/L/Condensation.lagda.md
# in-fence lines 6676
# GHCRTS -A64m -I0 -M8g
# command agda --profile=definitions src/L/Condensation.lagda.md
# load before 3.54 / 3.42 / 3.54
# load after  3.84 / 3.57 / 3.58
# wall seconds 129.25
# exit 0
Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          127,051ms 
Miscellaneous                                   66,038ms 
L.Condensation.LeafAgree.back                    6,858ms 
L.Condensation.SatGraphAgree.back                3,555ms 
L.Condensation.PropAgree.subB2T-back             3,133ms 
L.Condensation.ExInAgree.back                    2,565ms 
L.Condensation.SatGraphAgree.out                 2,196ms 
L.Condensation.LeafAgree.out                     1,337ms 
L.Condensation.Exist.Δ₀-existBndAt               1,255ms 
L.Condensation.AllInAgree.back                   1,169ms 
L.Condensation.SatGraphAgree.body-back           1,164ms 
L.Condensation.AtomLeaf.bwd                      1,100ms 
L.Condensation.WitnessAgree._.go                 1,089ms 
L.Condensation.SatGraphAgree.body-out            1,060ms 
L.Condensation.WitnessAgree._.go                 1,008ms 
L.Condensation.Clause.Δ₀-bodyBnd                   813ms 
L.Condensation.Forall.Δ₀-bodyFφ                    795ms 
L.Condensation.ImpAgree.back                       794ms 
L.Condensation.ImpLeaf.yaOut                       789ms 
L.Condensation.ImpLeaf.ybOut                       777ms 
L.Condensation.AllInAgree.out                      734ms 
L.Condensation._.dc                                718ms 
L.Condensation._.dc                                713ms 
L.Condensation.ForallAgree.back                    703ms 
L.Condensation.ExInAgree.out                       688ms 
L.Condensation.EqAgree.back                        672ms 
L.Condensation.BinShapeClosed.in'                  669ms 
L.Condensation.MemAgree.back                       652ms 
L.Condensation.ExistAgree.back                     620ms 
L.Condensation.PropAgree.back                      607ms 
L.Condensation.ImpAgree.out                        602ms 
L.Condensation.KFactsNS.KFacts                     595ms 
L.Condensation.ShapedAgree.back                    580ms 
L.Condensation.ShapedAgree.out                     578ms 
L.Condensation.BinaryShape.in'                     534ms 
L.Condensation.NegAgree.back                       516ms 
L.Condensation.SatGraphAgree.lift3                 507ms 
L.Condensation.ForallAgree.out                     442ms 
L.Condensation.TopAgree.back                       412ms 
L.Condensation.BinShapeClosed._.target             412ms 
L.Condensation.CertTransfer.cert-transfer          374ms 
L.Condensation.TmVal.in'                           372ms 
L.Condensation.ExistAgree.out                      362ms 
L.Condensation.EqAgree.out                         361ms 
L.Condensation.MemAgree.out                        353ms 
L.Condensation.TmVal.out                           351ms 
L.Condensation.PropAgree.out                       333ms 
L.Condensation.AtomLeaf.keyK-of                    318ms 
L.Condensation.KFactsCons                          306ms 
L.Condensation.BndLeaf.keyK-of                     297ms 
L.Condensation.NegAgree.out                        295ms 
L.Condensation.BinaryShape._.target                254ms 
L.Condensation.TopAgree.out                        244ms 
L.Condensation.BndLeaf.all-fwd                     244ms 
L.Condensation.UnShapeClosed.in'                   235ms 
L.Condensation.BndLeaf.ex-bwd                      218ms 
L.Condensation.PropAgree.subB2T                    212ms 
L.Condensation.BndLeaf.ex-fwd                      211ms 
L.Condensation.ShapesAgree.out                     183ms 
