# module src/L/Condensation.lagda.md
# in-fence lines 6676
# GHCRTS -A64m -I0 -M8g
# command agda --profile=definitions src/L/Condensation.lagda.md
# load before 3.04 / 3.60 / 3.65
# load after  3.38 / 3.51 / 3.60
# wall seconds 128.55
# exit 0
Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          125,512ms 
L.Condensation.DefinesAgree._._.eOne                54ms 
L.Condensation.SatGraphB.twelveB                    54ms 
L.Condensation.BinFrameAgree._._.ks                 54ms 
L.Condensation.Lift12Back.s₈                        52ms 
L.Condensation.DefinesAgree._._.eB                  50ms 
L.Condensation.SatGraphB.Δ₀-satGraphB               50ms 
L.Condensation.EqRow.σL-out                         50ms 
L.Condensation.ExInRow.σL-in                        49ms 
L.Condensation.MemRow.σL-out                        48ms 
L.Condensation.BinFullDecode.binFull-out            48ms 
L.Condensation.FstTmRel.back                        48ms 
L.Condensation.AllInRow.σL-in                       48ms 
L.Condensation.BndLeaf.bodyS                        47ms 
L.Condensation.DomainAgree.back                     46ms 
L.Condensation.FstTmRel.out                         46ms 
L.Condensation.Lift12Back.s₉                        46ms 
L.Condensation.BndLeaf.bodySx                       45ms 
L.Condensation.KValue.facts                         45ms 
L.Condensation.ForallRow.σL-out                     45ms 
L.Condensation.PropAgree.opOut                      44ms 
L.Condensation.NegRow.σL-out                        44ms 
L.Condensation.TagAgree._.h'                        44ms 
L.Condensation.ImpRow.σL-in                         43ms 
L.Condensation.UnFormAgree._._._.ks                 42ms 
L.Condensation.BotAgree.bot-out                     42ms 
L.Condensation.BinFullDecode.binFull-in             42ms 
L.Condensation.DefinesAgree._.go                    41ms 
L.Condensation.UnFullDecode.unFull-out              41ms 
L.Condensation.ImpLeaf.envSet-out                   41ms 
L.Condensation.AtomLeaf.vK-lift                     41ms 
L.Condensation.BinEnvDecode.binEnv-out              41ms 
L.Condensation.EqRow.σL-in                          40ms 
L.Condensation.BinFormAgree._._.go₂                 40ms 
L.Condensation.ClauseDecode.existBnd-out            40ms 
L.Condensation.AndRow.σL-in                         40ms 
L.Condensation.BinShapeClosed.out                   39ms 
L.Condensation.ImpLeaf.envSet-back                  39ms 
L.Condensation.OrRow.σL-in                          39ms 
L.Condensation.Lift12Back.s₁₀                       39ms 
L.Condensation.BinFormAgree.out                     39ms 
L.Condensation.BndLeaf.ex-drop-w                    38ms 
L.Condensation.SuccSndRel._.go                      37ms 
L.Condensation.UnFrameAgree._._.ks                  37ms 
L.Condensation.TmBranch._._._.tagPart               37ms 
L.Condensation.MemRow.σL-in                         37ms 
L.Condensation.BinFormAgree._.go                    37ms 
L.Condensation.ImpLeaf.envShift-back                36ms 
L.Condensation.Clause.Δ₀-envBnd                     35ms 
L.Condensation.BndLeaf.ex-lift-w                    35ms 
L.Condensation.ClauseDecode.existBnd-in             35ms 
L.Condensation.UnFormAgree.out                      34ms 
L.Condensation.Δ₀-bndBodyEx                         34ms 
L.Condensation.ImpLeaf.envShift-out                 34ms 
L.Condensation.ForallRow.σL-in                      33ms 
L.Condensation.UnFullDecode.unFull-in               33ms 
L.Condensation.Δ₀-bndBodyAll                        33ms 
L.Condensation.TopRow.σL-out                        33ms 
L.Condensation.NegRow.σL-in                         33ms 
L.Condensation.UnEnvDecode.unEnv-out                32ms 
L.Condensation.OneSuccRel._.go                      32ms 
L.Condensation.BndLeaf.ex-drop-x                    31ms 
L.Condensation.SuccSndRel._._.zK                    31ms 
L.Condensation.UnFormAgree._.go                     31ms 
L.Condensation.ClauseDecode.σL-out                  30ms 
L.Condensation.BndLeaf.ex-lift-x                    30ms 
L.Condensation.TagAgree.back                        30ms 
L.Condensation.WitnessAgree._._.wK                  30ms 
L.Condensation.SuccSndRel.back                      30ms 
L.Condensation.Δ₀-DefBodyB                          30ms 
L.Condensation.SatGraphB.satGraphB                  30ms 
L.Condensation.UnShapeClosed.out                    30ms 
L.Condensation.AtomLeaf.tWS                         29ms 
L.Condensation.ImpLeaf.opBack                       29ms 
L.Condensation.Δ₀-envHypU                           29ms 
L.Condensation.BinFormAgree._._.go₂                 29ms 
L.Condensation.BinaryShape.out                      29ms 
L.Condensation.BinEnvDecode.binEnv-in               28ms 
L.Condensation.PropAgree.coreS                      28ms 
L.Condensation.AtomLeaf.tVS                         28ms 
L.Condensation.TopRow.σL-in                         28ms 
L.Condensation.BndLeaf.tVS                          28ms 
