Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          126,324ms 
L.Condensation.BinFormAgree._._._._.ks              49ms 
L.Condensation.DomainAgree.back                     48ms 
L.Condensation.EqRow.σL-out                         48ms 
L.Condensation.Lift12Back.s₉                        48ms 
L.Condensation.FstTmRel.out                         48ms 
L.Condensation.AllInRow.σL-in                       47ms 
L.Condensation.BndLeaf.bodyS                        47ms 
L.Condensation.BinFullDecode.binFull-out            47ms 
L.Condensation.BinFrameAgree._._.ks                 47ms 
L.Condensation.FstTmRel.back                        47ms 
L.Condensation.MemRow.σL-out                        46ms 
L.Condensation.PropAgree.opOut                      45ms 
L.Condensation.ForallRow.σL-out                     44ms 
L.Condensation.NegRow.σL-out                        43ms 
L.Condensation.BndLeaf.bodySx                       43ms 
L.Condensation.OrRow.σL-in                          42ms 
L.Condensation.ImpRow.σL-in                         42ms 
L.Condensation.TagAgree._.h'                        41ms 
L.Condensation.DefinesAgree._.go                    41ms 
L.Condensation.BinFullDecode.binFull-in             41ms 
L.Condensation.UnFullDecode.unFull-out              41ms 
L.Condensation.BinEnvDecode.binEnv-out              40ms 
L.Condensation.ClauseDecode.existBnd-out            40ms 
L.Condensation.ImpLeaf.envSet-out                   40ms 
L.Condensation.BotAgree.bot-out                     40ms 
L.Condensation.BinFormAgree._._.go₂                 39ms 
L.Condensation.ImpLeaf.envSet-back                  39ms 
L.Condensation.AndRow.σL-in                         39ms 
L.Condensation.AtomLeaf.vK-lift                     39ms 
L.Condensation.TmBranch._._._.tagPart               39ms 
L.Condensation.Lift12Back.s₁₀                       38ms 
L.Condensation.ImpLeaf.envShift-out                 38ms 
L.Condensation.SuccSndRel._.go                      38ms 
L.Condensation.BinFormAgree.out                     38ms 
L.Condensation.MemRow.σL-in                         37ms 
L.Condensation.EqRow.σL-in                          37ms 
L.Condensation.BinShapeClosed.out                   36ms 
L.Condensation.BndLeaf.ex-drop-w                    36ms 
L.Condensation.ImpLeaf.envShift-back                36ms 
L.Condensation.UnFullDecode.unFull-in               36ms 
L.Condensation.Δ₀-bndBodyEx                         35ms 
L.Condensation.BndLeaf.ex-lift-w                    34ms 
L.Condensation.TopRow.σL-out                        34ms 
L.Condensation.Δ₀-bndBodyAll                        34ms 
L.Condensation.BinFormAgree._.go                    33ms 
L.Condensation.Clause.Δ₀-envBnd                     33ms 
L.Condensation.ForallRow.σL-in                      33ms 
L.Condensation.ClauseDecode.existBnd-in             33ms 
L.Condensation.UnFormAgree._.go                     32ms 
L.Condensation.NegRow.σL-in                         32ms 
L.Condensation.OneSuccRel._.go                      32ms 
L.Condensation.SuccSndRel._._.zK                    32ms 
L.Condensation.UnEnvDecode.unEnv-out                32ms 
