Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          134,279ms 
L.Condensation.SatGraphB.Δ₀-satGraphB               54ms 
L.Condensation.BinFrameAgree._._.ks                 53ms 
L.Condensation.BndLeaf.bodySx                       52ms 
L.Condensation.AllInRow.σL-in                       52ms 
L.Condensation.ExInRow.σL-in                        51ms 
L.Condensation.EqRow.σL-out                         51ms 
L.Condensation.DefinesAgree._._.eB                  51ms 
L.Condensation.MemRow.σL-out                        50ms 
L.Condensation.ForallRow.σL-out                     50ms 
L.Condensation.PropAgree.opOut                      47ms 
L.Condensation.FstTmRel.back                        47ms 
L.Condensation.ImpRow.σL-in                         47ms 
L.Condensation.NegRow.σL-out                        46ms 
L.Condensation.KValue.facts                         46ms 
L.Condensation.DomainAgree.back                     46ms 
L.Condensation.FstTmRel.out                         45ms 
L.Condensation.BndLeaf.ex-drop-w                    45ms 
L.Condensation.BndLeaf.bodyS                        45ms 
L.Condensation.EqRow.σL-in                          44ms 
L.Condensation.DefinesAgree._.go                    44ms 
L.Condensation.Lift12Back.s₉                        44ms 
L.Condensation.BinFullDecode.binFull-in             44ms 
L.Condensation.UnFullDecode.unFull-out              42ms 
L.Condensation.AndRow.σL-in                         42ms 
L.Condensation.OrRow.σL-in                          42ms 
L.Condensation.TagAgree._.h'                        42ms 
L.Condensation.BinEnvDecode.binEnv-out              42ms 
L.Condensation.BinFormAgree._._.go₂                 41ms 
L.Condensation.BndLeaf.ex-lift-w                    41ms 
L.Condensation.SuccSndRel._.go                      41ms 
L.Condensation.BotAgree.bot-out                     40ms 
L.Condensation.UnFullDecode.unFull-in               40ms 
L.Condensation.ImpLeaf.envSet-out                   40ms 
L.Condensation.ClauseDecode.existBnd-out            39ms 
L.Condensation.MemRow.σL-in                         39ms 
L.Condensation.ImpLeaf.envSet-back                  39ms 
L.Condensation.TmBranch._._._.tagPart               39ms 
L.Condensation.BinShapeClosed.out                   38ms 
L.Condensation.Lift12Back.s₁₀                       38ms 
L.Condensation.ImpLeaf.envShift-out                 38ms 
L.Condensation.AtomLeaf.vK-lift                     38ms 
L.Condensation.UnFrameAgree._._.ks                  37ms 
L.Condensation.BinFormAgree.out                     37ms 
L.Condensation.ForallRow.σL-in                      37ms 
L.Condensation.NegRow.σL-in                         37ms 
L.Condensation.UnFormAgree._._._.ks                 36ms 
L.Condensation.BndLeaf.ex-drop-x                    36ms 
L.Condensation.TopRow.σL-out                        36ms 
L.Condensation.ImpLeaf.envShift-back                36ms 
L.Condensation.BndLeaf.ex-lift-x                    35ms 
L.Condensation.BinFormAgree._.go                    35ms 
L.Condensation.Δ₀-bndBodyEx                         35ms 
L.Condensation.ClauseDecode.existBnd-in             34ms 
L.Condensation.UnEnvDecode.unEnv-out                34ms 
L.Condensation.Δ₀-bndBodyAll                        34ms 
L.Condensation.KTies.defPairK                       34ms 
L.Condensation.Clause.Δ₀-envBnd                     33ms 
L.Condensation.OneSuccRel._.go                      33ms 
L.Condensation.SuccSndRel._._.zK                    33ms 
L.Condensation.WitnessAgree._._.wK                  32ms 
L.Condensation.Δ₀-envHypU                           32ms 
L.Condensation.UnFormAgree.out                      31ms 
L.Condensation.TopRow.σL-in                         31ms 
L.Condensation.TagAgree.back                        31ms 
L.Condensation.UnFormAgree._.go                     30ms 
L.Condensation.BinaryShape.out                      30ms 
L.Condensation.SatGraphB.satGraphB                  30ms 
L.Condensation.Δ₀-DefBodyB                          30ms 
L.Condensation.BinEnvDecode.binEnv-in               30ms 
L.Condensation.KTies._.mem                          30ms 
L.Condensation.PropAgree.coreS                      30ms 
L.Condensation.SuccSndRel.back                      30ms 
L.Condensation.BotRow.σL-out                        29ms 
L.Condensation.UnBareDecode.unBare-out              29ms 
L.Condensation.Δ₀-envHypB2                          28ms 
L.Condensation.Δ₀-envHypB2T                         28ms 
L.Condensation.AtomLeaf.tVS                         28ms 
L.Condensation.ImpLeaf.opBack                       28ms 
L.Condensation.AtomLeaf.tWS                         28ms 
L.Condensation._.readEntry                          27ms 
L.Condensation.BndLeaf.tVS                          27ms 
L.Condensation.Δ₀-envHypT                           27ms 
L.Condensation.BinFormAgree._._.go₂                 27ms 
L.Condensation.OneSuccRel._._.zK                    27ms 
L.Condensation.EnvOneAgree.fwd                      27ms 
L.Condensation.EnvOneAgree.bwd                      27ms 
L.Condensation.ClauseDecode.σL-out                  27ms 
L.Condensation.UnShapeClosed.out                    26ms 
L.Condensation.OneSuccRel.back                      26ms 
L.Condensation.TmBranch._.go                        26ms 
L.Condensation.KTies._.q                            26ms 
L.Condensation.WitnessAgree.back                    25ms 
L.Condensation.WitnessAgree.out                     25ms 
L.Condensation.DomainAgree._.go                     25ms 
L.Condensation.DomainAgree.mem                      25ms 
L.Condensation.AtomLeaf.drop-w                      25ms 
L.Condensation.DefinesAgree.fwd                     25ms 
L.Condensation.KeyAgree._.go                        25ms 
L.Condensation.AtomLeaf.drop-v                      24ms 
L.Condensation.TagAgree._.hp                        24ms 
L.Condensation.BndLeaf.ex-drop-e                    24ms 
L.Condensation.BinFormAgree._.go                    24ms 
L.Condensation.ClauseDecode.σL-in                   24ms 
L.Condensation.SuccSndRel.out                       24ms 
L.Condensation.AtomLeaf.lift-v                      23ms 
L.Condensation.DefinesAgree.bwd                     23ms 
L.Condensation.SubValB2T.out                        23ms 
L.Condensation.UnEnvDecode.unEnv-in                 23ms 
L.Condensation.ExistAgree.Leaf.bodyK                22ms 
L.Condensation.TmBranch._._._.tz'                   22ms 
L.Condensation.Δ₀-shapesBS                          22ms 
L.Condensation.AtomLeaf.lift-w                      22ms 
L.Condensation.BndLeaf.ex-lift-e                    21ms 
L.Condensation.ExistAgree.Leaf.drop-x               21ms 
L.Condensation.BndLeaf.eK                           21ms 
L.Condensation.BotRow.σL-in                         21ms 
L.Condensation.ShapesAgree.back                     21ms 
L.Condensation.ExistAgree.Leaf.xB                   21ms 
L.Condensation.BothSameRel.back                     21ms 
L.Condensation.ExistAgree.Leaf.lift-x               20ms 
L.Condensation.BndLeaf.ySat                         20ms 
L.Condensation.TmBranch._._.hTagB                   20ms 
L.Condensation.BothSameRel.out                      20ms 
L.Condensation.UnaryShape.out                       20ms 
L.Condensation.ImpLeaf.opOut                        20ms 
L.Condensation.KValue.consed                        20ms 
L.Condensation.Δ₀-sucAtL                            20ms 
L.Condensation.Δ₀-atomBodyB                         20ms 
L.Condensation.AtomLeaf.wK                          20ms 
L.Condensation.UnFormAgree._.go                     20ms 
L.Condensation.KTies.sgltK                          19ms 
L.Condensation.ExistAgree.Leaf.bodyC                19ms 
L.Condensation.BndLeaf.xB                           19ms 
L.Condensation.TagAgree.out                         18ms 
L.Condensation.ExInAgree.φB                         18ms 
L.Condensation.DefBodyB                             18ms 
L.Condensation.SatGraphAgree.sh3                    18ms 
L.Condensation.keyU                                 18ms 
L.Condensation.OneSuccRel.out                       18ms 
L.Condensation.KTies.envK                           18ms 
L.Condensation.BndLeaf.wK'                          18ms 
L.Condensation.AtomLeaf.tVM                         18ms 
L.Condensation.KTies._.q                            18ms 
L.Condensation.AtomLeaf.vK                          18ms 
L.Condensation.EnvSet.app3                          18ms 
L.Condensation.UnBareDecode.unBare-in               17ms 
L.Condensation.Clause.envBnd                        17ms 
L.Condensation.AllInAgree.φB                        17ms 
L.Condensation.EnvSet.app3'                         17ms 
L.Condensation.ExistAgree.Leaf.exist-drop-step      17ms 
L.Condensation.BndLeaf.cSat                         16ms 
L.Condensation.AtomLeaf.tWM                         16ms 
L.Condensation.EnvSet.entryK                        16ms 
L.Condensation.SatGraphAgree._.eK                   16ms 
L.Condensation.Δ₀-envBndGen                         16ms 
L.Condensation.Δ₀-arTagPairBS                       15ms 
L.Condensation.GraphEntry.bin                       15ms 
L.Condensation.ExistAgree.Leaf.exist-lift-step      15ms 
L.Condensation.EnvSet.app2                          15ms 
L.Condensation.DefinesAgree.out                     14ms 
L.Condensation.ChainZ.xsingl∈prxy                   14ms 
L.Condensation.ExistAgree.Leaf.exist-lift           14ms 
L.Condensation.extAtB→extAt                         14ms 
L.Condensation.ExistAgree.Leaf.exist-drop           14ms 
L.Condensation.Imp.Δ₀-impBndAt                      14ms 
L.Condensation.KTies.tagged∈K                       14ms 
L.Condensation.DefinesAgree.back                    14ms 
L.Condensation.BndLeaf.tVM                          14ms 
L.Condensation.succU                                14ms 
L.Condensation.TmBranch._.go                        14ms 
L.Condensation.KeyAgree._._.te'                     13ms 
L.Condensation.Δ₀-arTagPairB                        13ms 
L.Condensation.GraphEntry.un                        13ms 
L.Condensation.OneSameRel.out                       13ms 
L.Condensation.And.Δ₀-andBndAt                      13ms 
L.Condensation.KeyAgree.back                        13ms 
L.Condensation.BinFormAgree.back                    13ms 
L.Condensation.AllIn.Δ₀-allInBndAt                  12ms 
L.Condensation.EqAgree.φB                           12ms 
L.Condensation.DefinesAgree.bodyM                   12ms 
L.Condensation.bndBodyEx                            12ms 
L.Condensation.atomBodyB                            12ms 
L.Condensation.ExIn.Δ₀-exInBndAt                    12ms 
L.Condensation.Neg.Δ₀-negBndAt                      12ms 
L.Condensation.Δ₀-closedBS                          12ms 
L.Condensation.OneSameRel.back                      12ms 
L.Condensation.AtomLeaf.cSat                        12ms 
L.Condensation.EqAgree.cmp                          12ms 
L.Condensation.ChainZ.entryK-tied-zK                12ms 
L.Condensation.KValue.Kenv                          12ms 
L.Condensation.KeyAgree.out                         12ms 
L.Condensation.Forall.Δ₀-forallBndAt                12ms 
L.Condensation.EnvSet.memE-bnd                      11ms 
L.Condensation.BinFrameAgree.back                   11ms 
L.Condensation._.d2                                 11ms 
L.Condensation.MemAgree.φB                          11ms 
L.Condensation._.d1                                 11ms 
L.Condensation.UnFormAgree.back                     11ms 
L.Condensation.bndBodyAll                           11ms 
L.Condensation.UnFrameAgree.back                    11ms 
L.Condensation._.dt                                 11ms 
L.Condensation.envBndGen                            11ms 
L.Condensation.Or.Δ₀-orBndAt                        11ms 
L.Condensation.EnvSet.out                           10ms 
L.Condensation.KTies.tagged-fst                     10ms 
L.Condensation.TopBinRel.back                       10ms 
L.Condensation.ClauseAgree.out                      10ms 
L.Condensation.EnvSet.memE-at                       10ms 
L.Condensation.BinFrameAgree._._.bK                 10ms 
L.Condensation.ChainZ.prʟxy∈z                       10ms 
L.Condensation.MemAgree.cmp                         10ms 
L.Condensation._.dt                                 10ms 
L.Condensation.BndLeaf.xW                           10ms 
L.Condensation.BinaryShape.innerK                   10ms 
L.Condensation.ChainZ.xK'                           10ms 
L.Condensation.ClauseAgree.back                     10ms 
L.Condensation.ZeroPayRel.back                      10ms 
L.Condensation.DefinesAgree.bodyB                   10ms 
